História;Descrição;Como/Quando;Critérios de aceite;Numero do Cenário;Cenários;Steps;Gherkin
;;;;Cenário 6;"Campo Year, do Experation Date preenchido com dado invalido, retorna mensagem "" There was an error processing your card."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de validade do cartão;
•	Selecionar ano de validade do cartão INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem ""There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Pagamento só é feito quando informações do cartão de crédito é inserido corretamente. ";"Dado que preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a ultima etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento INVALIDO do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""There was an error processing your card."""
;;;;Cenário 7;"First Name NÃO preenchido, retorna mensagem “There are problems with the fields in red."" 
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	NÃO digitar first name do cartão;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem "" There are problems with the fields in red."" 
•	Encerrar teste.

Validar:
•	Sinalizar que campo solicitando primeiro nome do usuário do cartão, é obrigatório. ";"Dado preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a ultima etapa,  o pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E não digito o first name do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela, a mensagem ""There are problems with the fields in red."""
;;;;Cenário 8;"First Name preenchido com nome INVALIDO, retorna mensagem “There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Sinalizar que o pagamento só é efetuado, quando as informações do cartão de crédito são inseridas corretamente.";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name INVALIDO do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""There was an error processing your card."""
;;;;Cenário 9;"Last Name NÃO preenchido, retorna mensagem “There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão;
•	NÃO digitar last name do cartão
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem "" There are problems with the fields in red."" 
•	Encerrar teste.

Validar:
•	Sinalizar que campo solicitando último nome do usuário do cartão, é obrigatório. ";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name do cartão
E não digito o last name do cartão
E clico em ""Make Payment""
Então será exibido no topo da tela, a mensagem ""There are problems with the fields in red."""
;;;;Cenário 10;"Last Name preenchido com nome INVALIDO, retorna mensagem “There are problems with the fields in red."" ";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão;
•	Digitar last name do cartão INVALIDO;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “There was an error processing your card."" 
•	Encerrar teste.

Validar:
•	Sinalizar que o pagamento só é efetuado, quando as informações do cartão de crédito são inseridas corretamente.
";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name do cartão
E digito o last name INVALIDO do cartão
E clico em ""make Payment""
Então será exibido no topo da tela a mensagem ""There  was an error processing your card."""
;;;;Cenário 11 ;"Campo Credit Card Number preenchido com letras e/ou caracteres especiais, retorna mensagem ""There are problems with the fields in red.";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento”;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar no campo do número do cartão de crédito, com letras e/ou caracteres especiais;
•	Clicar em “Make Payment”
•	Verificar no topo da tela, a mensagem “The are problems with the fields in red”;
•	Encerrar teste.

Validar:
•	Sinalizar ao usuário que campo só aceita números.";"Dado que preencho o forulário do Buyer ou Mains Buyer
Quando prossigo para a etapa de pagamento
E seleciono a flag que aceita a cobrança no valor de R$1,00
E digito no campo do número do cartão de crédito, letras e/ou caracteres especiais
E clico em ""Make Payment""
Então será exibido no topo da tela a mensagem ""The are problems with the fields in red"""
;;;;Cenário 12;"Dados do cartão de crédito preenchido corretamente, finaliza o processo do registro do credenciamento do Buyer e Main Buyer.
";"•	Usuário deverá acessar e-Touches;
•	Preencher o formulário do Buyer e Main Buyer;
•	Prosseguir para a última etapa, o pagamento;
•	Selecionar a flag que aceita a cobrança no valor de R$1,00, no cartão;	
•	Digitar o número do cartão de crédito;
•	Selecionar mês de vencimento do cartão;
•	Selecionar ano de vencimento do cartão;
•	Digitar first name do cartão;
•	Digitar last name do cartão;
•	Clicar em “Make Payment”
•	Processo de credenciamento finalizado com sucesso;
•	Encerrar teste.

Validar:
•	Sinalizar que o pagamento só é efetuado, quando as informações do cartão de crédito são inseridas corretamente.";"Dado que preencho o formulário como Buyer ou Main Buyer
Quando prossigo para a última etapa, pagamento
E seleciono a flag que aceita a cobrança no valor de R$ 1,00 no cartão
E digito o número do cartão de crédito
E seleciono o mês de vencimento do cartão
E seleciono o ano de vencimento do cartão
E digito o first name do cartão
E digito o last name do cartão
E clico em ""Make Payment""
Então o processo de credenciamento será finalizado com sucesso
"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
